\N	Bay Minette, AL	bay minette-alabama	19090
\N	Bayou La Batre, AL	bayou la batre-alabama	1983
\N	Bayou Labatre, AL	bayou labatre-alabama	1983
\N	Bazemore, AL	bazemore-alabama	57
\N	Bear Creek, AL	bear creek-alabama	1137
\N	Beatrice, AL	beatrice-alabama	1008
\N	Beaverton, AL	beaverton-alabama	673
\N	Belk, AL	belk-alabama	100
\N	Bell Fountain, AL	bell fountain-alabama	12672
\N	Bellamy, AL	bellamy-alabama	329
\N	Belle Mina, AL	belle mina-alabama	68
\N	Bellwood, AL	bellwood-alabama	285
\N	Benton, AL	benton-alabama	1165
\N	Berry, AL	berry-alabama	3901
\N	Bertha, AL	bertha-alabama	2938
\N	Bess, AL	bess-alabama	18888
\N	Bessemer, AL	bessemer-alabama	71463
\N	Bexar, AL	bexar-alabama	11145
\N	Bham, AL	bham-alabama	0
\N	Big Cove, AL	big cove-alabama	14216
\N	Bigbee, AL	bigbee-alabama	3854
\N	Billingsley, AL	billingsley-alabama	1313
\N	Birmingham, AL	birmingham-alabama	493806
\N	Black, AL	black-alabama	595
\N	Bladon Springs, AL	bladon springs-alabama	2143
\N	Blossburg, AL	blossburg-alabama	2382
\N	Blount Springs, AL	blount springs-alabama	8810
\N	Blountsville, AL	blountsville-alabama	7933
\N	Blue Mountain, AL	blue mountain-alabama	0
\N	Blue Springs, AL	blue springs-alabama	3318
\N	Bluff, AL	bluff-alabama	10177
\N	Bluff Park, AL	bluff park-alabama	63861
\N	Bluff Spring, AL	bluff spring-alabama	5103
\N	Boaz, AL	boaz-alabama	24535
\N	Boligee, AL	boligee-alabama	2009
\N	Bolinger, AL	bolinger-alabama	2143
\N	Bolling, AL	bolling-alabama	4299
\N	Bon Air, AL	bon air-alabama	66
\N	Bon Secour, AL	bon secour-alabama	764
\N	Booth, AL	booth-alabama	0
\N	Borden Springs, AL	borden springs-alabama	13389
\N	Boykin, AL	boykin-alabama	230
\N	Bradley, AL	bradley-alabama	536
\N	Branchville, AL	branchville-alabama	13842
\N	Brantley, AL	brantley-alabama	2566
\N	Brdn Sprngs, AL	brdn sprngs-alabama	13389
\N	Bremen, AL	bremen-alabama	3403
\N	Brent, AL	brent-alabama	5541
\N	Brewton, AL	brewton-alabama	16202
\N	Bridgeport, AL	bridgeport-alabama	3482
\N	Brierfield, AL	brierfield-alabama	1581
\N	Brighton, AL	brighton-alabama	27139
\N	Brilliant, AL	brilliant-alabama	1558
\N	Bromley, AL	bromley-alabama	19090
\N	Brookley Field, AL	brookley field-alabama	391
\N	Brookley Fld, AL	brookley fld-alabama	391
\N	Brooklyn, AL	brooklyn-alabama	0
\N	Brookside, AL	brookside-alabama	297
\N	Brookwood, AL	brookwood-alabama	3699
\N	Brownsboro, AL	brownsboro-alabama	2933
\N	Brundidge, AL	brundidge-alabama	4677
\N	Bryant, AL	bryant-alabama	3582
\N	Bucks, AL	bucks-alabama	46
\N	Buena Vista, AL	buena vista-alabama	1008
\N	Buhl, AL	buhl-alabama	2234
\N	Burkville, AL	burkville-alabama	1644
\N	Burnt Corn, AL	burnt corn-alabama	8314
\N	Burntout, AL	burntout-alabama	1931
\N	Burnwell, AL	burnwell-alabama	0
\N	Butler, AL	butler-alabama	4098
\N	Bynum, AL	bynum-alabama	0
\N	Cahaba Heights, AL	cahaba heights-alabama	17328
\N	Cahaba Hts, AL	cahaba hts-alabama	17328
\N	Calera, AL	calera-alabama	14965
\N	Calvert, AL	calvert-alabama	555
\N	Camden, AL	camden-alabama	4814
\N	Camp Hill, AL	camp hill-alabama	2630
\N	Campbell, AL	campbell-alabama	61
\N	Campbells Crossroads, AL	campbells crossroads-alabama	5582
\N	Canoe, AL	canoe-alabama	18355
\N	Capshaw, AL	capshaw-alabama	0
\N	Carbon Hill, AL	carbon hill-alabama	4341
\N	Cardiff, AL	cardiff-alabama	297
\N	Carlton, AL	carlton-alabama	0
\N	Carolina, AL	carolina-alabama	10673
\N	Carr Mill, AL	carr mill-alabama	5103
\N	Carrollton, AL	carrollton-alabama	3460
\N	Carson, AL	carson-alabama	1136
\N	Castleberry, AL	castleberry-alabama	2420
\N	Catherine, AL	catherine-alabama	461
\N	Cecil, AL	cecil-alabama	562
\N	Cedar Bluff, AL	cedar bluff-alabama	4836
\N	Center Point, AL	center point-alabama	66435
\N	Centerpoint, AL	centerpoint-alabama	19484
\N	Central, AL	central-alabama	5428
\N	Centre, AL	centre-alabama	10087
\N	Centreville, AL	centreville-alabama	5831
\N	Chance, AL	chance-alabama	945
\N	Chancellor, AL	chancellor-alabama	1722
\N	Chapman, AL	chapman-alabama	0
\N	Chastang, AL	chastang-alabama	3690
\N	Chatom, AL	chatom-alabama	2842
\N	Chelsea, AL	chelsea-alabama	9234
\N	Cherokee, AL	cherokee-alabama	4043
\N	Chestnut Grove, AL	chestnut grove-alabama	1456
\N	Chickasaw, AL	chickasaw-alabama	6106
\N	Childersburg, AL	childersburg-alabama	7713
\N	Chisolm, AL	chisolm-alabama	12997
\N	Choccolocco, AL	choccolocco-alabama	0
\N	Christiana, AL	christiana-alabama	1599
\N	Chrysler, AL	chrysler-alabama	1773
\N	Chulafinnee, AL	chulafinnee-alabama	8659
\N	Chunchula, AL	chunchula-alabama	5431
\N	Citronelle, AL	citronelle-alabama	7183
\N	Claiborne, AL	claiborne-alabama	98
\N	Clanton, AL	clanton-alabama	19978
\N	Clay, AL	clay-alabama	0
\N	Clayhatchee, AL	clayhatchee-alabama	9072
\N	Clayton, AL	clayton-alabama	5150
\N	Cleveland, AL	cleveland-alabama	3996
\N	Clinton, AL	clinton-alabama	0
\N	Clio, AL	clio-alabama	3318
\N	Clopton, AL	clopton-alabama	590
\N	Cloverdale, AL	cloverdale-alabama	0
\N	Coal City, AL	coal city-alabama	0
\N	Coal Fire, AL	coal fire-alabama	3668
\N	Coalburg, AL	coalburg-alabama	7232
\N	Coaling, AL	coaling-alabama	11127
\N	Coatopa, AL	coatopa-alabama	5468
\N	Cochrane, AL	cochrane-alabama	4972
\N	Coden, AL	coden-alabama	2818
\N	Coffee Spgs, AL	coffee spgs-alabama	1296
\N	Coffee Springs, AL	coffee springs-alabama	1296
\N	Coffeeville, AL	coffeeville-alabama	1232
\N	Coker, AL	coker-alabama	3880
\N	Collinsville, AL	collinsville-alabama	6514
\N	Columbia, AL	columbia-alabama	2276
\N	Columbiana, AL	columbiana-alabama	8787
\N	Comer, AL	comer-alabama	1967
\N	Concord, AL	concord-alabama	25436
\N	Cook Springs, AL	cook springs-alabama	277
\N	Coosa Pines, AL	coosa pines-alabama	7713
\N	Coosada, AL	coosada-alabama	1123
\N	Copeland, AL	copeland-alabama	3854
\N	Cordova, AL	cordova-alabama	5605
\N	Corinth, AL	corinth-alabama	4366
\N	Cortelyou, AL	cortelyou-alabama	972
\N	Cottondale, AL	cottondale-alabama	11127
\N	Cottonton, AL	cottonton-alabama	0
\N	Cottonwood, AL	cottonwood-alabama	3837
\N	County Line, AL	county line-alabama	2986
\N	Courtland, AL	courtland-alabama	1870
\N	Cowarts, AL	cowarts-alabama	1632
\N	Coy, AL	coy-alabama	579
\N	Cragford, AL	cragford-alabama	969
\N	Crane Hill, AL	crane hill-alabama	2617
\N	Creola, AL	creola-alabama	1935
\N	Crestline, AL	crestline-alabama	13185
\N	Crestline Heights, AL	crestline heights-alabama	13185
\N	Crestline Hts, AL	crestline hts-alabama	13185
\N	Cropwell, AL	cropwell-alabama	4101
\N	Crossville, AL	crossville-alabama	8300
\N	Cuba, AL	cuba-alabama	1930
\N	Cullman, AL	cullman-alabama	41993
\N	Cusseta, AL	cusseta-alabama	2129
\N	Cypress, AL	cypress-alabama	6180
\N	Dadeville, AL	dadeville-alabama	8269
\N	Daleville, AL	daleville-alabama	9072
\N	Damascus, AL	damascus-alabama	16202
\N	Dannelly, AL	dannelly-alabama	21306
\N	Danville, AL	danville-alabama	5135
\N	Daphne, AL	daphne-alabama	27890
\N	Dauphin Island, AL	dauphin island-alabama	1237
\N	Dauphin Islnd, AL	dauphin islnd-alabama	1237
\N	Daviston, AL	daviston-alabama	1570
\N	Dawson, AL	dawson-alabama	1704
\N	Dayton, AL	dayton-alabama	952
\N	De Armanville, AL	de armanville-alabama	0
\N	Deatsville, AL	deatsville-alabama	13092
\N	Decatur, AL	decatur-alabama	64979
\N	Deer Park, AL	deer park-alabama	478
\N	Delmar, AL	delmar-alabama	0
\N	Delta, AL	delta-alabama	1599
\N	Demopolis, AL	demopolis-alabama	8395
\N	Detroit, AL	detroit-alabama	1044
\N	Dickert, AL	dickert-alabama	2592
\N	Dickinson, AL	dickinson-alabama	531
\N	Dixiana, AL	dixiana-alabama	21725
\N	Dixie, AL	dixie-alabama	10673
\N	Dixons Mills, AL	dixons mills-alabama	1207
\N	Dixonville, AL	dixonville-alabama	16202
\N	Docena, AL	docena-alabama	414
\N	Dodge City, AL	dodge city-alabama	19427
\N	Dolomite, AL	dolomite-alabama	1465
\N	Dora, AL	dora-alabama	7944
\N	Dothan, AL	dothan-alabama	80446
\N	Double Spgs, AL	double spgs-alabama	4680
\N	Double Springs, AL	double springs-alabama	4680
\N	Douglas, AL	douglas-alabama	0
\N	Dozier, AL	dozier-alabama	1746
\N	Duncanville, AL	duncanville-alabama	3759
\N	Dutton, AL	dutton-alabama	2570
\N	E Tallassee, AL	e tallassee-alabama	0
\N	East Brewton, AL	east brewton-alabama	16202
\N	East Gadsden, AL	east gadsden-alabama	18088
\N	East Tallassee, AL	east tallassee-alabama	0
\N	Eastaboga, AL	eastaboga-alabama	4247
\N	Echo, AL	echo-alabama	1968
\N	Echola, AL	echola-alabama	82
